TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count ,Change,Average,Total Gross,Budget*,Week #,Oscar winner?
86,60,Live By Night,WB,"$1,672 ",-92.10%,17,-73,$98 ,"$10,377,558 ",-,11,#N/A
87,,The Grace of Jake,Indic.,"$1,562 ",-,2,-,$781 ,"$11,068 ",-,5,#N/A
88,,Contemporary Color,Osci.,"$1,451 ",-,1,-,"$1,451 ","$5,233 ",-,1,#N/A
89,79,Massacre on Aisle 12,Indic.,"$1,422 ",26.50%,2,-,$711 ,"$10,581 ",-,6,#N/A
90,,Lovesong,Strand,"$1,413 ",-,2,-,$707 ,"$4,674 ",-,3,#N/A
91,73,The Trouble with Terkel (2017),Indic.,"$1,224 ",-63.60%,1,-2,"$1,224 ","$97,728 ",-,5,#N/A
92,78,Saving Banksy,PDF,$985 ,-28.40%,1,-1,$985 ,"$45,100 ",-,8,#N/A
93,77,Pelle the Conqueror (2017 re-release),FM,$862 ,-48.60%,2,1,$431 ,"$4,574 ",-,2,#N/A
94,,Saigon Bodyguards,CJ,$803 ,-,2,-,$402 ,"$9,262 ",-,4,#N/A
95,,The Fiance,Indic.,$649 ,-,1,-,$649 ,"$22,280 ",-,16,#N/A
96,83,Journey to the South Pacific,Imax,$464 ,179.50%,2,-,$232 ,"$7,198,428 ",-,158,#N/A
97,,Sophie and the Rising Sun,Mont.,$340 ,-,3,-,$113 ,"$27,116 ",-,7,#N/A
98,,Island of Lemurs: Madagascar (IMAX),WB,$298 ,-,2,-,$149 ,"$10,700,733 ",-,153,#N/A
99,,Staying Vertical,Strand,$224 ,-,1,-,$224 ,"$9,991 ",-,5,#N/A
100,,Forest for the Trees (2017 re-release),FM,$68 ,-,1,-,$68 ,"$1,354 ",-,6,#N/A
